predicted_correctly	true_sentiment	predicted_sentiment	tweet_text
False	neu	neg	Weird Piano Guitar House in China! http://u2s.me/72i8"
False	neu	pos	Send us your GM/Chevy photos http://tinyurl.com/luzkpq"
True	neg	neg	I know. How sad is that?  RT @caseymercier: 1st day of hurricane season. That's less scarey than govt taking over GM."
True	neg	neg	GM files Bankruptcy
False	pos	neg	yankees won mets lost. its a good day."
False	pos	neg	My dentist appt today was actually quite enjoyable."
True	neg	neg	I hate the effing dentist."
False	neu	neg	@stevemoakler i had a dentist appt this morning and had the same conversation!"
True	neg	neg	@kirstiealley I hate going to the dentist.. !!!"
True	neg	neg	i hate the dentist....who invented them anyways?"
True	neg	neg	this dentist's office is cold :/"
False	neu	pos	Check this video out -- David After Dentist http://bit.ly/47aW2"
False	neu	neg	First dentist appointment [in years] on Wednesday possibly."
False	neu	pos	Tom Shanahan's latest column on SDSU and its NCAA Baseball Regional appearance: http://ow.ly/axhu"
False	neu	pos	BaseballAmerica.com: Blog: Baseball America Prospects Blog ? Blog ... http://bit.ly/EtT8a"
False	neu	pos	Portland city politics may undo baseball park http://tinyurl.com/lpjquj"
False	neu	pos	RT @WaterSISWEB: CA Merced's water bottled by Safeway
False	neu	neg	dropped her broccoli walking home from safeway! ;( so depressed"
False	neu	pos	@ronjon we don't have Safeway."
True	pos	pos	Just applied at Safeway!(: Yeeeee!"
True	neg	neg	@ Safeway. Place is a nightmare right now. Bumming."
False	neu	pos	at safeway with dad"
True	neg	neg	HATE safeway select green tea icecream! bought two cartons
False	neu	pos	Safeway with Marvin
False	neu	pos	Safeway offering mobile coupons http://bit.ly/ONH7w"
False	neu	pos	Phillies Driving in the Cadillac with the Top Down in Cali
False	neu	pos	Saved money by opting for grocery store trip and stocking food in hotel room fridge vs. eating out every night while out of town."
False	neu	pos	Lounging around
False	neu	pos	eating breakfast and then school"
False	neu	neg	still hungry after eating...."
False	neu	pos	10 tips for healthy eating ? ResultsBy Fitness Blog :: Fitness ... http://bit.ly/62gFn"
False	neu	neg	with the boyfriend
False	neu	pos	Eating dinner. Meat
False	neu	pos	got a new pair of nike shoes. pics up later"
False	neu	pos	Nike SB Blazer High ""ACG"" Custom - Brad Douglas - http://timesurl.at/45a448"
True	pos	pos	Nike rocks. I'm super grateful for what I've done with them :) &amp; the European Division of NIKE is BEYOND! @whitSTYLES @muchasmuertes"
False	neu	neg	Nike Air Yeezy Khaki/Pink Colorway Release - http://shar.es/bjfN"
False	pos	neg	@evelynbyrne have you tried Nike  ? V. addictive."
False	neu	neg	@erickoston That looks an awful lot like one of Nike's private jets....I'm just sayin...."
True	pos	pos	The Nike Training Club (beta) iPhone app looks very interesting."
True	neg	neg	argghhhh why won't  my jquery appear in safari bad safari !!!"
False	neu	neg	DevSnippets : jQuery Tools - Javascript UI Components for the Web... http://inblogs.org/go/hfuqt"
False	neu	neg	all about Ajax
True	pos	pos	I'm ready to drop the pretenses
False	neu	neg	This is cold.. I was looking at google's chart//visualization API and found this jQuery ""wrapper"" for the API...  http://tinyurl.com/mq52bq"
False	neu	pos	I spent most of my day reading a jQuery book. Now to start drinking some delirium tremens."
False	neu	neg	jquery Selectors http://codylindley.com/jqueryselectors/"
False	neu	pos	How to implement a news ticker with jQuery and ten lines of code http://bit.ly/CZnFJ"
False	neu	pos	What's Buffet Doing? Warren Buffett Kicks Butt In Battle of the Boots: Posted By:Alex Crippe.. http://bit.ly/AUIzO"
True	pos	pos	SUPER INVESTORS: A great weekend read here from Warren Buffet. Oldie
False	neu	pos	I'm truly braindead.  I couldn't come up with Warren Buffet's name to save my soul"
True	pos	pos	reading Michael Palin book
False	pos	neg	I mean
True	neg	neg	I can't watch TV without a Tivo.  And after all these years
True	pos	pos	I'd say some sports writers are idiots for saying Roger Federer is one of the best ever in Tennis.  Roger Federer is THE best ever in Tennis"
True	neg	neg	I still love my Kindle2 but reading The New York Times on it does not feel natural. I miss the Bloomingdale ads."
True	pos	pos	I love my Kindle2. No more stacks of books to trip over on the way to the loo."
False	neg	pos	Although today's keynote rocked
True	neg	neg	@sheridanmarfil - its not so much my obsession with cell phones
False	neu	pos	@freitasm oh I see. I thought AT&amp;T were 900MHz WCDMA?"
False	neu	pos	@Plip Where did you read about tethering support Phil?  Just AT&amp;T or will O2 be joining in?"
